Date,PCE
1959-01-01,306091
1959-02-01,309554
1959-03-01,312702
1959-04-01,312193
1959-05-01,316130
1959-06-01,318193
1959-07-01,317787
1959-08-01,320161
1959-09-01,324228
1959-10-01,322794
1959-11-01,322860
1959-12-01,322871
1960-01-01,323603
1960-02-01,325338
1960-03-01,330150
1960-04-01,336482
1960-05-01,330042
1960-06-01,330102
1960-07-01,331366
1960-08-01,331613
1960-09-01,333397
1960-10-01,335398
1960-11-01,335366
1960-12-01,331307
1961-01-01,332178
1961-02-01,333717
1961-03-01,337664
1961-04-01,337639
1961-05-01,339870
1961-06-01,340857
1961-07-01,340560
1961-08-01,342068
1961-09-01,344368
1961-10-01,346499
1961-11-01,349881
1961-12-01,352398
1962-01-01,353161
1962-02-01,353951
1962-03-01,357353
1962-04-01,359006
1962-05-01,361978
1962-06-01,360389
1962-07-01,361358
1962-08-01,362882
1962-09-01,368757
1962-10-01,366548
1962-11-01,371684
1962-12-01,373621
1963-01-01,374423
1963-02-01,373411
1963-03-01,375016
1963-04-01,376350
1963-05-01,377205
1963-06-01,381683
1963-07-01,384407
1963-08-01,386287
1963-09-01,385488
1963-10-01,386023
1963-11-01,389440
1963-12-01,394684
1964-01-01,396783
1964-02-01,400161
1964-03-01,401801
1964-04-01,402823
1964-05-01,408431
1964-06-01,411355
1964-07-01,414912
1964-08-01,417737
1964-09-01,416618
1964-10-01,419602
1964-11-01,416359
1964-12-01,421001
1965-01-01,424440
1965-02-01,431397
1965-03-01,433297
1965-04-01,437059
1965-05-01,437625
1965-06-01,435243
1965-07-01,441033
1965-08-01,444375
1965-09-01,452006
1965-10-01,458479
1965-11-01,459054
1965-12-01,461673
1966-01-01,465158
1966-02-01,470220
1966-03-01,475031
1966-04-01,476948
1966-05-01,473094
1966-06-01,475524
1966-07-01,480562
1966-08-01,483152
1966-09-01,489159
1966-10-01,488285
1966-11-01,490050
1966-12-01,491843
1967-01-01,494203
1967-02-01,492952
1967-03-01,495797
1967-04-01,501315
1967-05-01,502243
1967-06-01,506814
1967-07-01,506708
1967-08-01,509821
1967-09-01,515622
1967-10-01,512203
1967-11-01,517400
1967-12-01,525145
1968-01-01,530934
1968-02-01,533622
1968-03-01,544333
1968-04-01,544007
1968-05-01,549783
1968-06-01,556253
1968-07-01,563156
1968-08-01,567007
1968-09-01,568203
1968-10-01,571644
1968-11-01,576748
1968-12-01,576540
1969-01-01,583479
1969-02-01,588675
1969-03-01,588862
1969-04-01,593870
1969-05-01,600271
1969-06-01,600869
1969-07-01,602700
1969-08-01,609939
1969-09-01,613239
1969-10-01,618515
1969-11-01,620476
1969-12-01,622768
1970-01-01,628728
1970-02-01,633992
1970-03-01,632334
1970-04-01,636017
1970-05-01,642427
1970-06-01,646268
1970-07-01,648472
1970-08-01,652907
1970-09-01,659068
1970-10-01,658315
1970-11-01,656559
1970-12-01,665608
1971-01-01,676149
1971-02-01,679409
1971-03-01,682000
1971-04-01,688759
1971-05-01,691134
1971-06-01,699781
1971-07-01,698881
1971-08-01,704916
1971-09-01,712999
1971-10-01,715838
1971-11-01,720940
1971-12-01,728438
1972-01-01,731497
1972-02-01,736160
1972-03-01,749188
1972-04-01,752541
1972-05-01,757962
1972-06-01,761589
1972-07-01,769918
1972-08-01,776335
1972-09-01,781143
1972-10-01,794943
1972-11-01,800451
1972-12-01,806112
1973-01-01,816471
1973-02-01,825800
1973-03-01,832750
1973-04-01,835703
1973-05-01,841581
1973-06-01,844298
1973-07-01,854131
1973-08-01,853252
1973-09-01,869246
1973-10-01,868163
1973-11-01,876880
1973-12-01,876619
1974-01-01,884533
1974-02-01,889670
1974-03-01,901400
1974-04-01,910797
1974-05-01,922436
1974-06-01,928033
1974-07-01,937949
1974-08-01,954819
1974-09-01,955059
1974-10-01,959232
1974-11-01,956186
1974-12-01,961818
1975-01-01,975602
1975-02-01,989395
1975-03-01,990575
1975-04-01,995033
1975-05-01,1018937
1975-06-01,1026777
1975-07-01,1039789
1975-08-01,1046958
1975-09-01,1054829
1975-10-01,1060854
1975-11-01,1075758
1975-12-01,1092058
1976-01-01,1107148
1976-02-01,1107695
1976-03-01,1114879
1976-04-01,1125424
1976-05-01,1122700
1976-06-01,1140496
1976-07-01,1149590
1976-08-01,1157982
1976-09-01,1168847
1976-10-01,1176784
1976-11-01,1188960
1976-12-01,1211481
1977-01-01,1214984
1977-02-01,1231325
1977-03-01,1238329
1977-04-01,1247267
1977-05-01,1257068
1977-06-01,1263605
1977-07-01,1280483
1977-08-01,1285687
1977-09-01,1294544
1977-10-01,1311405
1977-11-01,1326983
1977-12-01,1336024
1978-01-01,1329486
1978-02-01,1355131
1978-03-01,1377542
1978-04-01,1396368
1978-05-01,1411964
1978-06-01,1425824
1978-07-01,1426815
1978-08-01,1446954
1978-09-01,1452881
1978-10-01,1466922
1978-11-01,1480617
1978-12-01,1496523
1979-01-01,1502425
1979-02-01,1517821
1979-03-01,1531178
1979-04-01,1538448
1979-05-01,1558800
1979-06-01,1575659
1979-07-01,1586126
1979-08-01,1615572
1979-09-01,1633904
1979-10-01,1641601
1979-11-01,1657250
1979-12-01,1666255
1980-01-01,1697298
1980-02-01,1701393
1980-03-01,1708215
1980-04-01,1695241
1980-05-01,1700079
1980-06-01,1718848
1980-07-01,1747082
1980-08-01,1763778
1980-09-01,1780453
1980-10-01,1817093
1980-11-01,1826815
1980-12-01,1851714
1981-01-01,1870041
1981-02-01,1884239
1981-03-01,1902921
1981-04-01,1904356
1981-05-01,1913765
1981-06-01,1934451
1981-07-01,1942122
1981-08-01,1966640
1981-09-01,1965535
1981-10-01,1963887
1981-11-01,1970646
1981-12-01,1988808
1982-01-01,1997087
1982-02-01,2021248
1982-03-01,2024130
1982-04-01,2026327
1982-05-01,2044491
1982-06-01,2048116
1982-07-01,2072242
1982-08-01,2080123
1982-09-01,2104649
1982-10-01,2125774
1982-11-01,2149261
1982-12-01,2161628
1983-01-01,2173954
1983-02-01,2177039
1983-03-01,2202774
1983-04-01,2226393
1983-05-01,2245902
1983-06-01,2276020
1983-07-01,2304398
1983-08-01,2320429
1983-09-01,2334858
1983-10-01,2357587
1983-11-01,2366269
1983-12-01,2393632
